"origen","reservada","correlacion","cantidad"
facebook_comentarios,deporte,gobierno,480
facebook_comentarios,trabajador,familia,479
facebook_comentarios,trabajador,familia,479
facebook_comentarios,delito,gobierno,479
facebook_comentarios,delito,delincuentes,478
facebook_comentarios,deporte,cantidad,477
facebook_comentarios,robo,justicia,476
facebook_comentarios,jóvenes,viejos,475
facebook_comentarios,alcohol,vida,474
facebook_comentarios,robo,penal,473
facebook_comentarios,deporte,cero,472
facebook_comentarios,deporte,invertir,472
facebook_comentarios,joven,paso,471
facebook_comentarios,robo,nacional,471
facebook_comentarios,pibe,vida,470
facebook_comentarios,joven,delito,469
facebook_comentarios,delito,joven,469
facebook_comentarios,sexo,leer,469
facebook_comentarios,música,personas,468
facebook_comentarios,trabajador,frente,465
facebook_comentarios,joven,madre,465
facebook_comentarios,trabajador,frente,465
facebook_comentarios,esperanza,fe,465
facebook_comentarios,joven,dinero,464
facebook_comentarios,música,corazón,463
facebook_comentarios,música,medio,462
facebook_comentarios,joven,muerte,459
facebook_comentarios,delito,personas,454
facebook_comentarios,joven,triste,454
facebook_comentarios,menores,pueblo,454
facebook_comentarios,aborto,gobierno,454
facebook_comentarios,trabajador,derechos,453
facebook_comentarios,sexo,nombre,453
facebook_comentarios,trabajador,derechos,453
facebook_comentarios,esperanza,pueblo,453
facebook_comentarios,robo,personas,451
facebook_comentarios,menores,calle,451
facebook_comentarios,menores,violencia,451
facebook_comentarios,menores,pagar,449
facebook_comentarios,esperanza,personas,448
facebook_comentarios,menores,matar,447
facebook_comentarios,jóvenes,joven,443
facebook_comentarios,pibe,juega,443
facebook_comentarios,joven,jóvenes,443
facebook_comentarios,hurto,hurto,439
facebook_comentarios,delito,pena,437
facebook_comentarios,aborto,legal,437
facebook_comentarios,juventud,dejar,437
facebook_comentarios,menores,derecho,436
facebook_comentarios,sexo,piensa,436
facebook_comentarios,sexo,temas,435
facebook_comentarios,sexo,teniendo,434
facebook_comentarios,juventud,mal,433
facebook_comentarios,sexo,contrario,432
facebook_comentarios,arte,cultura,432
facebook_comentarios,robo,pagar,431
facebook_comentarios,aborto,madre,429
facebook_comentarios,música,escuchar,429
facebook_comentarios,menores,problema,428
facebook_comentarios,jóvenes,mayoría,427
facebook_comentarios,delito,persona,425
facebook_comentarios,juventud,ustedes,422
facebook_comentarios,sexo,fuerte,422
facebook_comentarios,alcohol,personas,421
facebook_comentarios,trabajador,impuestos,419
facebook_comentarios,trabajador,impuestos,419
facebook_comentarios,drogas,mal,419
facebook_comentarios,pibe,jugadores,418
facebook_comentarios,alcohol,tomar,418
facebook_comentarios,sexo,final,418
facebook_comentarios,drogas,dinero,418
facebook_comentarios,sexo,gay,418
facebook_comentarios,música,facebook,416
facebook_comentarios,esperanza,gobierno,414
facebook_comentarios,sexo,deseo,413
facebook_comentarios,trabajador,mal,411
facebook_comentarios,trabajador,mal,411
facebook_comentarios,delito,mal,409
facebook_comentarios,música,espero,405
facebook_comentarios,sexo,semana,405
facebook_comentarios,sexo,jamas,404
facebook_comentarios,juventud,nacional,404
facebook_comentarios,delito,baja,403
facebook_comentarios,sexo,cantidad,403
facebook_comentarios,trabajador,plata,402
facebook_comentarios,trabajador,plata,402
facebook_comentarios,trabajador,dinero,401
facebook_comentarios,trabajador,dinero,401
facebook_comentarios,drogas,sociedad,400
facebook_comentarios,robo,roban,399
facebook_comentarios,pibe,futbol,396
facebook_comentarios,sexo,padre,394
facebook_comentarios,música,amigos,394
facebook_comentarios,aborto,derecho,391
facebook_comentarios,trabajador,pobre,391
facebook_comentarios,trabajador,pobre,391
facebook_comentarios,sexo,especial,391
facebook_comentarios,delito,sociedad,391
facebook_comentarios,jóvenes,dinero,389
facebook_comentarios,sexo,acerca,389
facebook_comentarios,sexo,imposible,388
facebook_comentarios,sexo,tienes,386
facebook_comentarios,jóvenes,pueblo,386
facebook_comentarios,juventud,futuro,383
facebook_comentarios,música,sueño,381
facebook_comentarios,juventud,gobierno,378
facebook_comentarios,juventud,apoyo,376
facebook_comentarios,jóvenes,ley,375
facebook_comentarios,delito,delitos,375
facebook_comentarios,música,persona,373
facebook_comentarios,trabajador,derecho,369
facebook_comentarios,jóvenes,señor,369
facebook_comentarios,trabajador,derecho,369
facebook_comentarios,juventud,nombre,369
facebook_comentarios,arte,vida,368
facebook_comentarios,delito,menores,368
facebook_comentarios,robo,ley,366
facebook_comentarios,robo,banco,366
facebook_comentarios,juventud,perú,365
facebook_comentarios,robo,amigos,365
facebook_comentarios,robo,persona,365
facebook_comentarios,música,encanta,363
facebook_comentarios,trabajador,ley,362
facebook_comentarios,trabajador,ley,362
facebook_comentarios,trabajador,salario,359
facebook_comentarios,trabajador,salario,359
facebook_comentarios,aborto,acuerdo,357
facebook_comentarios,robo,luis,357
facebook_comentarios,trabajador,paro,356
facebook_comentarios,robo,historia,356
facebook_comentarios,trabajador,paro,356
facebook_comentarios,trabajador,paga,356
facebook_comentarios,pibe,futuro,356
facebook_comentarios,trabajador,paga,356
facebook_comentarios,porro,fumar,355
facebook_comentarios,robo,robar,354
facebook_comentarios,jóvenes,respeto,353
facebook_comentarios,infracción,infracción,352
facebook_comentarios,jóvenes,nacional,351
facebook_comentarios,jóvenes,peor,351
facebook_comentarios,música,julieta,350
facebook_comentarios,trabajador,clase,348
facebook_comentarios,juventud,esfuerzo,348
facebook_comentarios,trabajador,clase,348
facebook_comentarios,alcohol,mal,347
facebook_comentarios,trabajador,personas,347
facebook_comentarios,trabajador,personas,347
facebook_comentarios,jóvenes,pasa,346
facebook_comentarios,trabajador,pagar,345
facebook_comentarios,trabajador,pagar,345
facebook_comentarios,juventud,corazón,344
facebook_comentarios,juventud,alto,344
facebook_comentarios,trabajador,seguro,341
facebook_comentarios,trabajador,seguro,341
facebook_comentarios,jóvenes,padre,341
facebook_comentarios,esperanza,pierde,340
facebook_comentarios,música,página,339
facebook_comentarios,pibe,loco,338
facebook_comentarios,robo,pasa,336
facebook_comentarios,jóvenes,jugadores,336
facebook_comentarios,esperanza,fuerza,336
facebook_comentarios,juventud,gladys,335
facebook_comentarios,robo,preso,335
facebook_comentarios,robo,seguro,334
facebook_comentarios,robo,lacalle,331
facebook_comentarios,juventud,peñarol,331
facebook_comentarios,pibe,fuerza,330
facebook_comentarios,música,musical,330
facebook_comentarios,alcohol,cigarro,329
facebook_comentarios,robo,calle,329
facebook_comentarios,juventud,chicas,328
facebook_comentarios,drogas,problema,328
facebook_comentarios,trabajador,seguridad,325
facebook_comentarios,trabajador,seguridad,325
facebook_comentarios,juventud,tejeda,324
facebook_comentarios,delito,derecho,321
facebook_comentarios,drogas,peor,315
facebook_comentarios,juventud,canales,314
facebook_comentarios,arte,magia,313
facebook_comentarios,pibe,familia,310
facebook_comentarios,esperanza,amor,310
facebook_comentarios,esperanza,nacional,310
facebook_comentarios,drogas,armas,308
facebook_comentarios,trabajador,pasa,308
facebook_comentarios,trabajador,pasa,308
facebook_comentarios,juventud,salga,307
facebook_comentarios,esperanza,luis,307
facebook_comentarios,innovación,innovación,307
facebook_comentarios,trabajador,gana,305
facebook_comentarios,delito,delincuente,305
facebook_comentarios,pibe,camiseta,305
facebook_comentarios,trabajador,gana,305
facebook_comentarios,juventud,coraje,304
facebook_comentarios,juventud,ines,304
facebook_comentarios,juventud,embrutecer,303
facebook_comentarios,esperanza,equipo,300
facebook_comentarios,drogas,ley,297
facebook_comentarios,pibe,cancha,297
facebook_comentarios,trabajador,delincuentes,296
facebook_comentarios,trabajador,delincuentes,296
facebook_comentarios,aborto,mal,295
facebook_comentarios,delito,leyes,294
facebook_comentarios,trabajador,persona,294
facebook_comentarios,trabajador,persona,294
facebook_comentarios,aborto,matrimonio,293
facebook_comentarios,delito,muerte,291
facebook_comentarios,trabajador,pesos,289
facebook_comentarios,trabajador,pesos,289
facebook_comentarios,alcohol,gobierno,287
facebook_comentarios,alcohol,problema,286
facebook_comentarios,drogas,violencia,285
facebook_comentarios,alcohol,legal,285
facebook_comentarios,alcohol,ley,282
facebook_comentarios,aborto,personas,279
facebook_comentarios,pibe,bolso,278
facebook_comentarios,delito,comete,275
facebook_comentarios,alcohol,peor,275
facebook_comentarios,aborto,abortar,270
facebook_comentarios,alcohol,cigarrillo,268
facebook_comentarios,esperanza,futuro,268
facebook_comentarios,delito,pasa,266
facebook_comentarios,pibe,pasa,261
facebook_comentarios,alcohol,fumar,260
facebook_comentarios,delito,cometido,260
facebook_comentarios,drogas,pasa,259
facebook_comentarios,alcohol,persona,259
facebook_comentarios,drogas,delincuentes,258
facebook_comentarios,drogas,persona,258
facebook_comentarios,esperanza,ustedes,258
facebook_comentarios,drogas,pueblo,257
facebook_comentarios,pibe,gol,257
facebook_comentarios,drogas,delincuencia,257
facebook_comentarios,pibe,club,256
facebook_comentarios,porro,marihuana,255
facebook_comentarios,estudiante,estudiantes,254
facebook_comentarios,drogas,jóvenes,252
facebook_comentarios,delito,penal,251
facebook_comentarios,aborto,salud,251
facebook_comentarios,pibe,plata,250
facebook_comentarios,delito,matar,250
facebook_comentarios,delito,robar,250
facebook_comentarios,esperanza,paz,250
facebook_comentarios,delito,cárcel,249
facebook_comentarios,drogas,familia,248
facebook_comentarios,delito,familia,248
facebook_comentarios,esperanza,familia,247
facebook_comentarios,drogas,salud,247
facebook_comentarios,alcohol,pasa,247
facebook_comentarios,pibe,goles,246
facebook_comentarios,esperanza,mensaje,245
facebook_comentarios,tecnología,personas,245
facebook_comentarios,esperanza,cambio,245
facebook_comentarios,delito,pueblo,244
facebook_comentarios,delito,policía,244
facebook_comentarios,pibe,equipo,241
facebook_comentarios,drogas,problemas,240
facebook_comentarios,pibe,cuadro,240
facebook_comentarios,pibe,manya,239
facebook_comentarios,aborto,embarazo,239
facebook_comentarios,pibe,aca,239
facebook_comentarios,esperanza,salud,239
facebook_comentarios,adolescente,vida,238
facebook_comentarios,arte,música,238
facebook_comentarios,pibe,jajaja,236
facebook_comentarios,drogas,educación,235
facebook_comentarios,esperanza,viva,234
facebook_comentarios,alcohol,sociedad,234
