"reservada","correlacion","cantidad","origen"
menores,calle,451,facebook_comentarios
menores,pagar,449,facebook_comentarios
menores,matar,447,facebook_comentarios
menores,derecho,436,facebook_comentarios
menores,problema,428,facebook_comentarios
menores,inau,428,facebook_comentarios
menores,comercial,6,twitter
menores,casos,6,twitter
menores,m,6,twitter
estudiante,estudiante,121,twitter
estudiante,utu,19,twitter
estudiante,liceo,9,twitter
estudiante,isatchannel,9,twitter
estudiante,mx,7,twitter
estudiante,felicitaciones,7,twitter
estudiante,dtvar,6,twitter
estudiante,ar,6,twitter
estudiante,pe,6,twitter
estudiante,clubesdeciencia,6,twitter
estudiante,ch,6,twitter
estudiante,ceibal,5,twitter
estudiante,estebanlamothe,5,twitter
estudiante,texto,5,twitter
estudiante,plan,5,twitter
estudiante,libros,5,twitter
estudiante,ignacio,4,twitter
estudiante,tenés,4,twitter
estudiante,puntacarretas,4,twitter
estudiante,google,4,twitter
estudiante,ganó,4,twitter
estudiante,santiagomitre,4,twitter
estudiante,obtuvo,4,twitter
estudiante,educación,4,twitter
estudiante,docente,4,twitter
estudiante,estudiante,517,post_facebook
estudiante,estudiantes,61,post_facebook
estudiante,joven,48,post_facebook
estudiante,universidad,44,post_facebook
estudiante,vida,42,post_facebook
estudiante,educación,42,post_facebook
estudiante,utu,40,post_facebook
estudiante,derecho,40,post_facebook
estudiante,información,38,post_facebook
estudiante,nacional,38,post_facebook
estudiante,programa,37,post_facebook
estudiante,escuela,35,post_facebook
estudiante,facultad,35,post_facebook
estudiante,personas,34,post_facebook
estudiante,liceo,33,post_facebook
estudiante,público,32,post_facebook
estudiante,experiencia,30,post_facebook
estudiante,empresa,30,post_facebook
estudiante,forma,30,post_facebook
estudiante,ciudad,30,post_facebook
estudiante,requisitos,29,post_facebook
estudiante,medio,29,post_facebook
estudiante,equipo,28,post_facebook
estudiante,familia,28,post_facebook
estudiante,noticias,28,post_facebook
estudiante,nombre,27,post_facebook
estudiante,medicina,27,post_facebook
estudiante,oportunidad,27,post_facebook
estudiante,san,27,post_facebook
estudiante,centro,27,post_facebook
estudiante,estudiante,"2,327",facebook_comentarios
estudiante,estudiantes,254,facebook_comentarios
estudiante,universidad,185,facebook_comentarios
estudiante,educación,183,facebook_comentarios
estudiante,gobierno,177,facebook_comentarios
estudiante,estudiar,166,facebook_comentarios
estudiante,vida,147,facebook_comentarios
estudiante,personas,136,facebook_comentarios
estudiante,mal,133,facebook_comentarios
estudiante,persona,127,facebook_comentarios
estudiante,familia,126,facebook_comentarios
estudiante,medicina,118,facebook_comentarios
estudiante,derecho,112,facebook_comentarios
estudiante,pagar,111,facebook_comentarios
estudiante,dinero,110,facebook_comentarios
estudiante,joven,104,facebook_comentarios
estudiante,profesores,100,facebook_comentarios
estudiante,escuela,96,facebook_comentarios
estudiante,calidad,95,facebook_comentarios
estudiante,pasa,93,facebook_comentarios
estudiante,clase,93,facebook_comentarios
estudiante,carrera,91,facebook_comentarios
estudiante,frente,88,facebook_comentarios
estudiante,plata,87,facebook_comentarios
estudiante,profesor,85,facebook_comentarios
estudiante,liceo,84,facebook_comentarios
estudiante,nacional,83,facebook_comentarios
estudiante,docentes,80,facebook_comentarios
estudiante,estudio,79,facebook_comentarios
estudiante,pueblo,76,facebook_comentarios
estudiante,olimpíada,4,twitter
estudiante,in,3,twitter
estudiante,gustavo,3,twitter
estudiante,concurso,3,twitter
estudiante,hola,3,twitter
trabajador,trabajador,135,twitter
trabajador,rural,23,twitter
trabajador,feliz,20,twitter
trabajador,libertad,7,twitter
trabajador,familia,7,twitter
trabajador,trabajadores,7,twitter
trabajador,ley,6,twitter
trabajador,contrabando,6,twitter
trabajador,arroz,6,twitter
trabajador,privan,6,twitter
trabajador,personas,6,twitter
trabajador,cnt,5,twitter
trabajador,taxi,5,twitter
trabajador,pit,5,twitter
trabajador,sundde,4,twitter
trabajador,vázquez,4,twitter
trabajador,spot,4,twitter
trabajador,chorros,4,twitter
trabajador,muerte,4,twitter
trabajador,empresa,4,twitter
trabajador,luislacallepou,3,twitter
trabajador,isa,3,twitter
trabajador,jornada,3,twitter
trabajador,cobrar,3,twitter
trabajador,historia,3,twitter
trabajador,trabajador,587,post_facebook
trabajador,gobierno,99,post_facebook
trabajador,trabajadores,91,post_facebook
trabajador,frente,78,post_facebook
trabajador,feliz,66,post_facebook
trabajador,vida,65,post_facebook
trabajador,pueblo,63,post_facebook
trabajador,ley,61,post_facebook
trabajador,paro,60,post_facebook
trabajador,familia,55,post_facebook
trabajador,amplio,55,post_facebook
trabajador,derechos,54,post_facebook
trabajador,muerte,53,post_facebook
trabajador,personas,53,post_facebook
trabajador,salud,52,post_facebook
trabajador,nacional,52,post_facebook
trabajador,forma,51,post_facebook
trabajador,historia,49,post_facebook
trabajador,rural,48,post_facebook
trabajador,persona,46,post_facebook
trabajador,clase,46,post_facebook
trabajador,laboral,45,post_facebook
trabajador,empresas,45,post_facebook
trabajador,justicia,44,post_facebook
trabajador,seguridad,42,post_facebook
trabajador,social,42,post_facebook
trabajador,derecho,42,post_facebook
trabajador,dinero,41,post_facebook
trabajador,media,40,post_facebook
trabajador,meses,40,post_facebook
trabajador,trabajador,"8,117",facebook_comentarios
trabajador,gobierno,"1,050",facebook_comentarios
trabajador,pueblo,961,facebook_comentarios
trabajador,trabajadores,789,facebook_comentarios
trabajador,vida,689,facebook_comentarios
trabajador,sueldo,512,facebook_comentarios
trabajador,familia,479,facebook_comentarios
trabajador,frente,465,facebook_comentarios
trabajador,derechos,453,facebook_comentarios
trabajador,impuestos,419,facebook_comentarios
trabajador,mal,411,facebook_comentarios
trabajador,plata,402,facebook_comentarios
trabajador,dinero,401,facebook_comentarios
trabajador,pobre,391,facebook_comentarios
trabajador,derecho,369,facebook_comentarios
trabajador,ley,362,facebook_comentarios
trabajador,salario,359,facebook_comentarios
