pestaña,Cod_sede,Depto,Ciudad,CG,Sede,Juez,comunidad con,Oficina,Categ,Turno,Secc,Comp,Act_Jur,Cantidad
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,RESTEL_ANT,2089
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,RESTEL,1480
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,EXPTR_ANT,1220
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,EXPTR,584
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,NOTIF,535
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AIVD_ANT,1101
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AIVD,620
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AICNA_ANT,505
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AICNA,427
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AIVISITAS_ANT,61
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AIVISITAS,0
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AIOtros_ANT,157
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AIOtros,89
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AI,1136
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,ADUCON,698
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDTTOT,1396
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDR,539
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDS,159
Famesp Mvd,435,1,-1,-1,-1,1,-1,2,1,3,-1,11,AUDUNI,392
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AREPEVD,0
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AUDPREL_0,520
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AUDEVAL,238
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,ARCHI,476
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,RESTEL_ANT,1350
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,RESTEL,1700
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,EXPTR_ANT,509
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,EXPTR,804
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,NOTIF,799
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AIVD_ANT,756
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AIVD,661
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AICNA_ANT,412
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AICNA,409
Famesp Mvd,436,1,-1,-1,-1,1,-1,2,1,4,-1,11,AIVISITAS_ANT,56
